ID,prov,site,name,type,lat,lon,alt,alt_pres,info
1,安徽,58015,砀山,基本站,3427,11620,44.200000762939453,45.399999999999999,
2,安徽,58016,萧县,一般站,3411,11658,34.700000762939453,35.899999999999999,
3,安徽,58102,亳州,基本站,3347,11544,39.100000000000001,40.299999999999997,
4,安徽,58107,临泉,一般站,3301,11517,35.799999999999997,37,
5,安徽,58108,界首,一般站,3320,11522,38,39.200000000000003,新址启用
6,安徽,58109,太和,一般站,3308,11539,31,32.200000000000003,
7,安徽,58112,天柱山,一般站,3044,11627,968.20000000000005,969.39999999999998,
8,安徽,58113,濉溪,一般站,3356,11645,31.600000000000001,32.799999999999997,
9,安徽,58114,涡阳,一般站,3329,11611,31.199999999999999,32.299999999999997,
10,安徽,58116,淮北,一般站,3402,11652,32.899999999999999,34.100000000000001,新址启用
11,安徽,58117,利辛,一般站,3308,11612,27.899999618530273,29.399999999999999,
12,安徽,58118,蒙城,基本站,3316,11631,26,27.199999999999999,
13,安徽,58122,宿州,基本站,3338,11659,25.899999618530273,27.100000381469727,
14,安徽,58125,灵璧,一般站,3335,11731,22.899999999999999,24.399999999999999,
15,安徽,58126,泗县,一般站,3328,11752,19.5,20.700000762939453,
16,安徽,58127,怀远,一般站,3259,11712,21.199999999999999,22.399999999999999,
17,安徽,58128,固镇,一般站,3320,11721,21,22.199999999999999,
18,安徽,58129,五河,一般站,3309,11750,14.9,16.100000000000001,
19,安徽,58202,阜南,一般站,3240,11534,31.199999999999999,32.399999999999999,
20,安徽,58203,阜阳,基本站,3252,11544,32.700000762939453,33.899999999999999,
21,安徽,58210,颍上,一般站,3239,11614,25.199999999999999,26.199999999999999,
22,安徽,58212,凤台,一般站,3243,11646,23,24.199999999999999,
23,安徽,58214,霍邱,一般站,3222,11618,27.899999999999999,29.100000000000001,
24,安徽,58215,寿县,基准站,3226,11647,25.699999999999999,26.899999999999999,
25,安徽,58220,长丰,一般站,3228,11709,28.100000381469727,29.299999237060547,
26,安徽,58221,蚌埠,基本站,3251,11718,26.800000000000001,28,
27,安徽,58222,凤阳,一般站,3251,11733,24.600000000000001,25.600000000000001,
28,安徽,58223,明光,一般站,3248,11759,31.399999999999999,32.600000000000001,
29,安徽,58224,淮南,一般站,3239,11701,32.599998474121094,33.600000000000001,
30,安徽,58225,定远,基本站,3232,11740,69.599999999999994,70.599999999999994,
31,安徽,58230,全椒,一般站,3207,11817,26.5,27.699999999999999,
32,安徽,58234,来安,一般站,3228,11825,40.400001525878906,41.599998474121094,
33,安徽,58236,滁州,基本站,3221,11815,33.5,34.700000000000003,
34,安徽,58240,天长,一般站,3241,11901,21.299999237060547,22.5,
35,安徽,58306,金寨,一般站,3141,11553,95.400001525878906,96.5,
36,安徽,58311,六安,基本站,3144,11630,74.099999999999994,75.299999999999997,
37,安徽,58314,霍山,基本站,3124,11619,86.400000000000006,87.599999999999994,
38,安徽,58316,舒城,一般站,3128,11655,23.600000000000001,24.800000000000001,
39,安徽,58317,岳西,一般站,3052,11622,434.20001220703125,435.39999389648438,
40,安徽,58319,桐城,基准站,3104,11657,85.400001525878906,86,
41,安徽,58320,肥西,一般站,3144,11708,21.799999237060547,22.799999237060547,
42,安徽,58321,合肥,基本站,3147,11718,27,28.200000762939453,
43,安徽,58323,肥东,一般站,3153,11728,25,26,
44,安徽,58326,巢湖,基本站,3135,11750,30.899999999999999,31.899999999999999,
45,安徽,58327,庐江,一般站,3116,11717,45.200000000000003,46.399999999999999,
46,安徽,58329,无为,一般站,3120,11752,9.5999999999999996,10.800000000000001,
47,安徽,58330,含山,一般站,3145,11805,26,27,
48,安徽,58331,和县,一般站,3144,11822,22.5,23.5,
49,安徽,58334,芜湖,一般站,3123,11825,10.199999999999999,11.4,新址启用
50,安徽,58335,当涂,一般站,3133,11834,60,61.200000000000003,新址启用
51,安徽,58336,马鞍山,基本站,3142,11834,80,81.200000000000003,
52,安徽,58337,繁昌,一般站,3105,11811,26.799999237060547,28,
53,安徽,58338,芜湖县,基本站,3107,11836,40,41.399999999999999,
54,安徽,58414,太湖,基本站,3026,11619,105.09999999999999,106.3,
55,安徽,58415,潜山,一般站,3040,11633,64.400000000000006,65.599999999999994,
56,安徽,58416,怀宁,一般站,3045,11649,35.5,36.700000000000003,
57,安徽,58417,宿松,一般站,3010,11608,54.700000762939453,55.900001525878906,
58,安徽,58418,望江,一般站,3008,11640,60,61.200000000000003,
59,安徽,58419,东至,基本站,3006,11701,17.600000381469727,18.799999237060547,
60,安徽,58420,枞阳,一般站,3043,11714,58.299999999999997,59.5,
61,安徽,58421,青阳,一般站,3038,11752,31,32.200000762939453,
62,安徽,58423,九华山,一般站,3029,11747,647.29998779296875,648.29998779296875,
63,安徽,58424,安庆,基本站,3037,11658,62,63.200000000000003,
64,安徽,58426,黄山区,一般站,3018,11808,193.39999389648438,194.60000610351562,
65,安徽,58427,池州,一般站,3039,11730,15,16.199999999999999,
66,安徽,58428,石台,一般站,3013,11730,118.5,119.7,
67,安徽,58429,铜陵,基本站,3059,11751,11,12.199999999999999,
68,安徽,58431,南陵,一般站,3054,11819,39,40.200000000000003,
69,安徽,58432,泾县,一般站,3041,11824,57.299999999999997,58.399999999999999,
70,安徽,58433,宣城,一般站,3056,11845,31.200000762939453,32.200000762939453,
71,安徽,58435,旌德,一般站,3018,11832,220.19999694824219,221.30000305175781,
72,安徽,58436,宁国,基本站,3037,11859,87.299999999999997,88.5,
73,安徽,58437,黄山,基准站,3008,11809,1840.4000244140625,1841.4000000000001,
74,安徽,58438,绩溪,一般站,3005,11835,191.10000610351562,192.30000305175781,
75,安徽,58441,广德,一般站,3052,11925,43.100000000000001,44.299999999999997,
76,安徽,58442,郎溪,一般站,3110,11911,16.5,17.699999999999999,
77,安徽,58520,祁门,基本站,2951,11743,142,143.09999999999999,
78,安徽,58523,黟县,一般站,2956,11756,227.5,228.69999694824219,
79,安徽,58530,歙县,一般站,2952,11826,168.69999694824219,170.10000610351562,
80,安徽,58531,屯溪,基准站,2943,11817,142.69999694824219,143.89999389648438,
81,安徽,58534,休宁,一般站,2947,11811,170.19999694824219,171.39999389648438,
82,北京,54398,顺义,一般站,4008,11637,28.600000000000001,29.600000000000001,
83,北京,54399,海淀,一般站,3959,11617,45.799999999999997,46.899999999999999,
84,北京,54406,延庆,基本站,4027,11558,487.89999999999998,489.10000000000002,
85,北京,54410,佛爷顶,一般站,4036,11608,1224.7,1225.5999999999999,
86,北京,54412,汤河口,一般站,4044,11638,331.60000000000002,332.60000000000002,
87,北京,54416,密云,基准站,4023,11652,71.799999999999997,73,
88,北京,54419,怀柔,一般站,4022,11638,75.700000000000003,76.799999999999997,
89,北京,54421,上甸子,一般站,4039,11707,293.30000000000001,294.30000000000001,台站名称变更
90,北京,54424,平谷,一般站,4010,11707,32.100000000000001,33.299999999999997,
91,北京,54431,通州,一般站,3951,11645,19.800000000000001,20.800000000000001,新址启用
92,北京,54433,朝阳,一般站,3957,11630,35.299999999999997,36.299999999999997,
93,北京,54499,昌平,一般站,4013,11613,76.200000000000003,77.400000000000006,
94,北京,54501,斋堂,一般站,3958,11541,440.30000000000001,441.30000000000001,
95,北京,54505,门头沟,一般站,3956,11606,98,99.099999999999994,
96,北京,54511,北京,基本站,3948,11628,31.300000000000001,32.299999999999997,
97,北京,54513,石景山,一般站,3957,11612,63,64.099999999999994,新址启用
98,北京,54514,丰台,一般站,3952,11615,55.200000000000003,56.700000000000003,
99,北京,54594,大兴,一般站,3943,11621,37.5,38.700000000000003,新址启用
100,北京,54596,房山,一般站,3946,11612,48.899999999999999,49.899999999999999,
101,北京,54597,霞云岭,一般站,3944,11544,407.69999999999999,408.69999999999999,
102,福建,58724,光泽,一般站,2732,11719,268.19999999999999,269.19999999999999,
103,福建,58725,邵武,基本站,2720,11728,218,218.90000000000001,
104,福建,58730,武夷山,基本站,2746,11802,222.09999999999999,223.09999999999999,
105,福建,58731,浦城,基本站,2755,11832,276.89999999999998,277.89999999999998,
106,福建,58734,建阳,基本站,2720,11807,196.90000000000001,198.09999999999999,
107,福建,58735,松溪,一般站,2731,11845,260.19999999999999,261.30000000000001,
108,福建,58736,政和,一般站,2723,11849,262.39999999999998,263.60000000000002,
109,福建,58737,建瓯,基准站,2703,11819,154.90000000000001,155.69999999999999,
110,福建,58744,寿宁,基本站,2727,11925,815.89999999999998,816.89999999999998,
111,福建,58747,周宁,一般站,2709,11921,899.29999999999995,900.29999999999995,
112,福建,58748,福安,一般站,2706,11939,50.5,51.5,
113,福建,58749,柘荣,一般站,2714,11953,684.10000000000002,685.10000000000002,
114,福建,58754,福鼎,基本站,2720,12012,36.200000000000003,37,
115,福建,58818,宁化,基本站,2614,11638,358.89999999999998,359.69999999999999,
116,福建,58819,清流,一般站,2611,11649,336.89999999999998,338,
117,福建,58820,泰宁,基本站,2654,11710,342.89999999999998,344.10000000000002,
118,福建,58821,将乐,一般站,2644,11728,173.90000000000001,174.90000000000001,
119,福建,58822,建宁,一般站,2650,11651,342.30000000000001,343.5,
120,福建,58823,顺昌,一般站,2648,11748,175.19999999999999,176.40000000000001,
121,福建,58824,明溪,一般站,2624,11709,357.39999999999998,358.39999999999998,
122,福建,58826,沙县,一般站,2624,11748,120.59999999999999,121.5,
123,福建,58828,三明,一般站,2616,11737,208.19999999999999,209.19999999999999,
124,福建,58834,南平,基本站,2638,11810,152.19999999999999,153.19999999999999,
125,福建,58836,古田,一般站,2635,11844,361.5,362.69999999999999,
126,福建,58837,尤溪,基本站,2609,11809,204.80000000000001,205.90000000000001,
127,福建,58839,闽清,一般站,2614,11851,40.799999999999997,41.799999999999997,
128,福建,58843,霞浦,基本站,2653,12001,56.799999999999997,57.799999999999997,
129,福建,58844,闽侯,一般站,2609,11909,57.799999999999997,58.600000000000001,
130,福建,58845,罗源,一般站,2630,11933,78.5,79.5,新址启用
131,福建,58846,宁德,基本站,2640,11931,32.399999999999999,33.200000000000003,
132,福建,58847,福州,基准站,2605,11917,84,85,
133,福建,58848,连江,一般站,2612,11933,13.4,14.4,
134,福建,58850,三沙,一般站,2655,12014,92.200000000000003,93.200000000000003,
135,福建,58911,长汀,基本站,2551,11622,310,311.19999999999999,
136,福建,58912,连城,一般站,2543,11644,404,404.89999999999998,
137,福建,58917,武平,一般站,2505,11606,307,308.19999999999999,
138,福建,58918,上杭,基本站,2503,11625,198,198.69999999999999,
139,福建,58921,永安,基准站,2558,11721,206,207,
140,福建,58923,大田,一般站,2542,11750,400.10000000000002,400.89999999999998,
141,福建,58926,漳平,基本站,2518,11725,205.30000000000001,206.5,
142,福建,58927,龙岩,基本站,2503,11701,376,377,
143,福建,58928,华安,一般站,2501,11732,166.5,167.69999999999999,
144,福建,58929,安溪,一般站,2504,11812,130.59999999999999,131.59999999999999,新址启用
145,福建,58931,九仙山,基本站,2543,11806,1653.5,1654.5999999999999,
146,福建,58932,永泰,一般站,2552,11856,85.599999999999994,86.599999999999994,
147,福建,58933,屏南,基本站,2655,11859,869.5,870.39999999999998,
148,福建,58934,永春,一般站,2520,11816,183.80000000000001,184.80000000000001,
149,福建,58935,德化,一般站,2529,11814,521.39999999999998,522.39999999999998,
150,福建,58936,仙游,基本站,2522,11842,77.700000000000003,78.5,
151,福建,58938,秀屿,一般站,2514,11859,23.100000000000001,24.300000000000001,
152,福建,58940,福州郊区,一般站,2605,11920,25.600000000000001,26.699999999999999,
153,福建,58941,长乐,一般站,2558,11930,25.899999999999999,26.899999999999999,
154,福建,58942,福清,一般站,2543,11923,39.200000000000003,40.299999999999997,
155,福建,58944,平潭,基本站,2531,11947,32.399999999999999,33.399999999999999,
156,福建,58946,莆田,一般站,2527,11900,81.099999999999994,81.900000000000006,
157,福建,59113,永定,基本站,2444,11643,226.90000000000001,227.90000000000001,
158,福建,59122,长泰,一般站,2437,11745,43,44,
159,福建,59124,南靖,一般站,2431,11723,53.700000000000003,54.700000000000003,
160,福建,59125,平和,一般站,2423,11718,108.5,109.5,
161,福建,59126,漳州,基本站,2430,11739,28.899999999999999,29.899999999999999,
162,福建,59127,龙海,一般站,2426,11750,32.100000000000001,32.799999999999997,
163,福建,59129,漳浦,一般站,2408,11735,61.100000000000001,62.100000000000001,新址启用
164,福建,59130,同安,一般站,2444,11809,30.800000000000001,31.699999999999999,
165,福建,59131,南安,一般站,2458,11822,45.399999999999999,46.600000000000001,
166,福建,59133,崇武,基准站,2454,11855,21.800000000000001,22.5,
167,福建,59134,厦门,基本站,2429,11804,139.40000000000001,140.59999999999999,
168,福建,59137,晋江,一般站,2449,11834,56,57,
169,福建,59320,诏安,一般站,2345,11708,37.799999999999997,38.799999999999997,
170,福建,59321,东山,基本站,2347,11730,53.299999999999997,54.5,
171,福建,59322,云霄,一般站,2359,11722,22.800000000000001,23.800000000000001,
172,甘肃,52418,敦煌,基准站,4009,9441,1139,1139.5999999999999,
173,甘肃,52533,酒泉,基准站,3946,9829,1477.2,1478.4000000000001,
174,甘肃,52323,马鬃山,基准站,4148,9702,1770.4000000000001,1771.5999999999999,
175,甘肃,52424,瓜州,基本站,4032,9547,1170.9000000000001,1172.0999999999999,
176,甘肃,52436,玉门镇,基本站,4016,9702,1526,1527.2,
177,甘肃,52446,鼎新,基准站,4018,9931,1177.4000000000001,1178.5999999999999,
178,甘肃,52447,金塔,基本站,4000,9853,1270.5,1271.7,
179,甘肃,52515,肃北,一般站,3931,9452,2137.1999999999998,2138.5999999999999,
180,甘肃,52681,民勤,基准站,3838,10305,1367.5,1368.7,
181,甘肃,52679,武威,基本站,3755,10240,1531.5,1532.7,
182,甘肃,52674,永昌,基本站,3813,10156,2093.9000000000001,2095.0999999999999,新址启用
183,甘肃,52787,乌鞘岭,基准站,3712,10252,3045.0999999999999,3046.3000000000002,
184,甘肃,52784,古浪,一般站,3728,10254,2072.4000000000001,2073.5999999999999,
185,甘肃,52881,天祝,一般站,3659,10311,2484.8000000000002,2486,
186,甘肃,52983,榆中,基准站,3552,10409,1874.4000000000001,1875.5999999999999,
187,甘肃,52884,皋兰,基准站,3621,10357,1668.5,1669.7,
188,甘肃,52885,永登,一般站,3645,10315,2118.8000000000002,2120,
189,甘肃,53923,西峰,基本站,3544,10738,1421,1422.2,
190,甘肃,53821,环县,基本站,3634,10718,1255.5999999999999,1256.8,
191,甘肃,53930,华池,一般站,3627,10759,1271,1272.2,
192,甘肃,53934,合水,一般站,3547,10759,1274.2,1275.7,
193,甘肃,53935,正宁,一般站,3529,10824,1481.9000000000001,1443.9000000000001,
194,甘肃,53925,镇原,一般站,3541,10711,1172.5,1173.7,
195,甘肃,53829,庆城,一般站,3559,10754,1093.7,1094.9000000000001,
196,甘肃,53937,宁县,一般站,3531,10755,979.39999999999998,980.60000000000002,
197,甘肃,56093,岷县,基准站,3426,10401,2315,2316.1999999999998,
198,甘肃,52986,临洮,基本站,3522,10352,1893.8,1895,
199,甘肃,52996,华家岭,基本站,3523,10501,2450.5999999999999,2451.8000000000002,
200,甘肃,52995,安定,一般站,3535,10437,1897.2,1898.4000000000001,
201,甘肃,53908,通渭,一般站,3513,10514,1769.8,1771,新址启用
202,甘肃,56092,陇西,一般站,3500,10439,1728.2,1729.4000000000001,
203,甘肃,56091,漳县,一般站,3451,10428,1883.3,1884.5,
204,甘肃,52998,渭源,一般站,3508,10412,2111,2112.1999999999998,
205,甘肃,52652,张掖,基准站,3905,10017,1461.0999999999999,1462.3,
206,甘肃,52546,高台,基本站,3922,9950,1332.2,1333.4000000000001,
207,甘肃,52661,山丹,基本站,3848,10105,1765.5,1766.7,
208,甘肃,52656,民乐,一般站,3826,10049,2281.4000000000001,2282.5999999999999,
209,甘肃,52557,临泽,一般站,3909,10010,1453.7,1454.9000000000001,
210,甘肃,52643,肃南,一般站,3850,9937,2311.8000000000002,2313,
211,甘肃,52797,景泰,基本站,3711,10403,1630.9000000000001,1632.0999999999999,
212,甘肃,52895,靖远,基本站,3634,10441,1398.2,1399.4000000000001,
213,甘肃,52993,会宁,一般站,3541,10504,1739.4000000000001,1740.5999999999999,
214,甘肃,52896,白银,一般站,3633,10409,1738.7,1739.9000000000001,
215,甘肃,56074,玛曲,基本站,3400,10205,3471.4000000000001,3472.5999999999999,
216,甘肃,56080,合作,基准站,3500,10254,2910,2911.1999999999998,
217,甘肃,52978,夏河,一般站,3511,10230,2948.3000000000002,2950.0999999999999,
218,甘肃,56071,碌曲,一般站,3436,10230,3190.5999999999999,3192.0999999999999,
219,甘肃,56081,临潭,一般站,3442,10321,2810.1999999999998,2811.4000000000001,
220,甘肃,56082,卓尼,一般站,3435,10330,2592.0999999999999,2593.8000000000002,新址启用
