site,moveTimes,tag,lon,lat,alt,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period,dist
51058,4,1,8758,4706,13.5,1961-01-01,1966-10-31,1961-01-01,2018-12-31,21184,2130,0
51058,4,2,8758,4706,12.252,1966-11-01,1998-12-31,1961-01-01,2018-12-31,21184,11749,3.71079572081863
51058,4,3,8758,4706,5.62,2001-01-01,2009-12-31,1961-01-01,2018-12-31,21184,3287,146.576430900105
51058,4,4,8758,4706,5.633,2010-01-01,2018-12-31,1961-01-01,2018-12-31,21184,3287,146.576430900105
51329,2,1,8051,4403,6.4,1959-12-01,1965-03-31,1959-12-01,2018-12-31,21581,1948,0
51329,2,2,8051,4403,6.4,1965-04-01,2018-12-31,1959-12-01,2018-12-31,21581,19633,111.323871569685
51722,6,1,8023,4038,10.65,1959-08-01,1962-11-30,1959-08-01,2018-12-31,21703,1218,0
51722,6,2,8023,4038,10.442,1962-12-01,1963-12-31,1959-08-01,2018-12-31,21703,396,0
51722,6,3,8024,4038,10.442,1964-01-01,1965-03-31,1959-08-01,2018-12-31,21703,456,102.046882272207
51722,6,4,8024,4038,10.442,1965-04-01,1966-04-30,1959-08-01,2018-12-31,21703,395,1.85539785965152
51722,6,5,8024,4039,10.442,1966-05-01,2004-03-31,1959-08-01,2018-12-31,21703,13850,1.88106567899552
51722,6,6,8024,4039,10.443,2004-04-01,2018-12-31,1959-08-01,2018-12-31,21703,5388,1.88106567899552
52378,5,1,10208,4125,9.591,1959-06-01,1971-12-31,1959-06-01,2018-12-31,21764,4597,0
52378,5,2,10208,4125,9.591,1972-01-01,1978-12-31,1959-06-01,2018-12-31,21764,2557,126.295973848108
52378,5,3,10222,4122,9.6,1979-01-01,2013-12-31,1959-06-01,2018-12-31,21764,12784,100.293601671958
52378,5,4,10223,4123,9.6,2014-01-01,2014-02-28,1959-06-01,2018-12-31,21764,59,98.4600566164992
52378,5,5,10222,4122,9.6,2014-03-01,2018-12-31,1959-06-01,2018-12-31,21764,1767,100.293601671958
52607,2,1,10508,3803,13.42,1962-01-01,2007-12-31,1962-01-01,2018-12-31,20819,16801,0
52607,2,2,10639,3926,12.526,2008-01-01,2018-12-31,1962-01-01,2018-12-31,20819,4018,174.01561840569
52884,4,1,10340,3633,20.32,1957-03-01,1963-05-31,1957-03-01,2018-12-31,22586,2283,0
52884,4,2,10356,3621,16.685,1963-06-01,1964-12-31,1957-03-01,2018-12-31,22586,580,228.33750524001
52884,4,3,10356,3621,16.685,1965-01-01,2010-08-31,1957-03-01,2018-12-31,22586,16679,30.1576407011273
52884,4,4,10357,3621,16.685,2010-09-01,2018-12-31,1957-03-01,2018-12-31,22586,3044,31.9862300489997
53195,7,3,11344,4351,11.114,1960-09-01,1972-03-31,1955-12-01,2018-12-31,23042,4230,0
