I,site,moveTimes,tag,lon,lat,alt,period_date_begin,period_date_end,date_begin,date_end
1,50136,5,3,12222,5328,296,1974-07-01,1996-12-31,1957-04-01,2018-12-31
2,50246,4,1,12443,5219,350,1960-12-01,1962-08-31,1960-12-01,2018-12-31
3,50247,4,1,12340,5203,521.5,1974-01-01,1981-08-31,1974-01-01,2018-12-31
4,50349,3,1,12420,5142,494.9,1972-01-01,1981-05-31,1972-01-01,2018-12-31
5,50353,2,1,12639,5143,177.4,1954-01-01,2012-12-31,1954-01-01,2018-12-31
6,50425,3,3,12011,5015,581.4,1982-04-01,2018-12-31,1957-01-01,2018-12-31
7,50431,4,3,12131,5047,979.9,1982-04-01,2004-12-31,1956-12-01,2018-12-31
8,50434,5,4,12141,5029,732.6,1982-04-01,1989-05-31,1957-01-01,2018-12-31
9,50442,1,1,12407,5024,371.7,1966-07-01,2018-12-31,1966-07-01,2018-12-31
10,50445,3,2,12344,5035,423.7,1964-01-01,1990-12-31,1960-01-01,2018-12-31
11,50468,3,1,12727,5015,165.8,1959-01-01,1981-10-31,1959-01-01,2018-12-31
12,50514,4,2,11726,4934,666.8,1964-01-01,1984-04-30,1956-12-01,2018-12-31
13,50524,2,2,11926,4919,576.6,1964-01-01,2018-12-31,1959-01-01,2018-12-31
14,50525,3,1,11945,4909,617.1,1959-01-01,1959-12-31,1959-01-01,2018-12-31
15,50526,4,4,12042,4917,668.8,1982-01-01,2018-12-31,1957-01-01,2018-12-31
16,50527,6,1,11945,4913,676.6,1951-01-01,1954-09-30,1951-01-01,2018-12-31
17,50548,3,2,12343,4912,287.9,1964-01-01,1988-02-29,1957-01-01,2018-12-31
18,50557,3,2,12514,4910,242.2,1972-07-01,2017-09-30,1951-01-01,2018-12-31
19,50564,4,1,12721,4926,228.6,1954-01-01,1959-05-31,1954-01-01,2018-12-31
20,50566,7,1,12827,4935,112.3,1959-09-01,1965-12-31,1959-09-01,2018-12-31
21,50603,3,2,11649,4840,554.2,1964-01-01,2014-12-31,1957-10-01,2018-12-31
22,50618,1,1,11816,4813,642,1958-11-01,2018-12-31,1958-11-01,2018-12-31
23,50632,3,1,12155,4846,738.7,1951-01-01,1979-06-30,1951-01-01,2018-12-31
24,50639,3,1,12244,4800,310.3,1952-02-01,1954-09-30,1952-02-01,2018-12-31
25,50645,3,2,12429,4828,192,1974-07-01,2003-12-31,1958-12-01,2018-12-31
26,50646,3,1,12451,4829,199,1961-01-01,1965-12-31,1961-01-01,2018-12-31
27,50647,3,1,12329,4807,218.2,1956-12-01,2000-10-31,1956-12-01,2018-12-31
28,50655,4,2,12611,4830,271.8,1977-09-01,2004-06-30,1966-08-01,2018-12-31
29,50656,4,1,12631,4817,276,1958-09-01,1963-09-30,1958-09-01,2018-12-31
30,50658,5,2,12553,4803,236.9,1956-01-01,1988-12-31,1951-01-01,2018-12-31
31,50659,5,3,12615,4802,294,1966-01-01,2006-10-31,1959-01-01,2018-12-31
32,50673,5,1,13024,4853,93,1958-10-01,1959-02-28,1958-10-01,2018-12-31
33,50674,1,1,12926,4834,404.5,1974-01-01,2018-12-31,1974-01-01,2018-12-31
34,50727,6,3,11957,4710,1026.5,1964-01-01,1982-06-30,1952-06-01,2018-12-31
35,50739,3,2,12311,4720,190,1968-01-01,2014-12-31,1958-01-01,2018-12-31
36,50741,1,1,12330,4756,185.2,1954-11-01,2018-12-31,1954-11-01,2018-12-31
37,50742,7,5,12429,4748,162.3,1975-01-01,1980-11-30,1956-10-01,2018-12-31
38,50745,5,3,12355,4723,145.9,1964-01-01,2001-12-31,1951-01-01,2018-12-31
39,50749,5,2,12450,4711,156.1,1957-06-01,1961-05-31,1956-12-01,2018-12-31
40,50750,8,2,12518,4754,216.3,1962-05-01,1965-08-31,1956-12-01,2018-12-31
41,50755,3,1,12606,4736,230.7,1956-12-01,1964-12-31,1956-12-01,2018-12-31
42,50756,6,1,12658,4726,240.3,1952-07-01,1957-09-30,1952-07-01,2018-12-31
43,50758,7,2,12554,4710,249.2,1956-01-01,2000-12-31,1953-01-01,2018-12-31
44,50767,1,1,12706,4714,202.7,1961-01-01,2018-12-31,1961-01-01,2018-12-31
45,50772,6,4,12915,4807,296.5,1971-01-01,2003-12-31,1957-10-01,2018-12-31
46,50774,5,3,12854,4743,231.3,1962-05-01,1988-12-31,1955-10-01,2018-12-31
47,50775,3,1,13020,4722,227.9,1955-11-01,2003-12-31,1955-11-01,2018-12-31
48,50776,3,2,13050,4734,84.1,1962-05-01,1982-06-30,1956-12-01,2018-12-31
49,50778,3,1,13230,4739,53.6,1967-01-01,1997-06-30,1967-01-01,2018-12-31
50,50779,4,1,13417,4822,65.7,1968-01-01,1983-09-30,1968-01-01,2018-12-31
51,50787,4,3,13151,4717,61.8,1970-03-01,2013-12-31,1956-12-01,2018-12-31
52,50788,7,1,13159,4714,76.5,1952-08-01,1954-05-31,1952-08-01,2018-12-31
53,50832,2,2,12205,4643,332.6,1964-01-01,2018-12-31,1961-01-01,2018-12-31
54,50833,1,1,12254,4643,187.8,1958-12-01,2018-12-31,1958-12-01,2018-12-31
55,50834,6,5,12113,4636,501.8,1989-09-01,1990-12-31,1957-12-01,2018-12-31
56,50838,3,3,12203,4605,274.7,1964-01-01,2018-12-31,1951-01-01,2018-12-31
57,50842,5,1,12426,4652,153.1,1959-01-01,1964-10-31,1959-01-01,2018-12-31
58,50844,4,1,12325,4624,161.9,1958-01-01,1962-07-31,1958-01-01,2018-12-31
59,50850,1,1,12508,4634,147.2,2005-01-01,2018-12-31,2005-01-01,2018-12-31
60,50851,3,1,12606,4641,204.1,1956-12-01,1965-10-31,1956-12-01,2018-12-31
61,50852,4,1,12629,4652,174.1,1956-12-01,1957-04-30,1956-12-01,2018-12-31
62,50853,3,3,12658,4637,179.6,1957-11-01,2018-12-31,1952-07-01,2018-12-31
63,50854,3,3,12519,4623,149.3,1972-01-01,2018-12-31,1952-07-01,2018-12-31
64,50858,7,3,12558,4604,147.2,1963-01-01,2003-12-31,1959-01-01,2018-12-31
65,50859,6,3,12616,4615,162.8,1963-06-01,1993-09-30,1956-11-01,2018-12-31
66,50861,5,3,12729,4653,185.3,1962-03-01,1981-03-31,1956-12-01,2018-12-31
67,50862,3,2,12801,4659,210.5,1964-01-01,2011-12-31,1957-12-01,2018-12-31
68,50867,3,2,12721,4605,13.5,1962-04-01,1979-09-30,1960-01-01,2018-12-31
69,50871,3,3,12953,4644,95.1,1975-01-01,2018-12-31,1958-11-01,2018-12-31
70,50873,4,3,13017,4649,81.2,1955-10-01,2006-12-31,1951-01-01,2018-12-31
71,50877,1,1,12935,4618,100.1,1959-01-01,2018-12-31,1959-01-01,2018-12-31
72,50878,2,1,13043,4701,78.4,1967-01-01,1996-12-31,1967-01-01,2018-12-31
73,50879,6,4,13031,4612,182.4,1961-01-01,2003-06-30,1955-10-01,2018-12-31
74,50880,3,2,13108,4643,105.4,1962-05-01,1992-07-31,1959-01-01,2018-12-31
75,50884,5,3,13109,4638,175.3,1961-01-01,2017-08-31,1955-10-01,2018-12-31
76,50888,3,1,13211,4619,82.7,1956-11-01,1978-09-30,1956-11-01,2018-12-31
77,50892,3,3,13400,4648,54.4,1974-07-01,2018-12-31,1961-06-01,2018-12-31
78,50913,5,3,11848,4543,865.6,1987-01-01,2002-05-31,1959-04-01,2018-12-31
