site  ,I     ,moveTimes ,tag ,lon.x            ,lat.x            ,alt.x  ,period_date_begin ,period_date_end ,date_begin ,date_end   ,n_all ,n_period
51848 ,948   ,3         ,2   ,83.8333333333333 ,37.6             ,1262.8 ,1961-01-01        ,1980-03-31      ,1960-01-01 ,1998-12-31 ,14244 ,7029
52343 ,1009  ,2         ,1   ,99.9166666666667 ,41.9333333333333 ,965.6  ,1958-11-01        ,1978-03-31      ,1958-11-01 ,1986-12-31 ,10287 ,7090
52441 ,1030  ,2         ,1   ,98.7             ,40.7166666666667 ,1591   ,1965-12-01        ,1978-04-30      ,1965-12-01 ,1988-12-31 ,8431  ,4533
52749 ,1147  ,1         ,1   ,99.5833333333333 ,37.0833333333333 ,3269   ,1987-01-01        ,1996-11-30      ,1987-01-01 ,1996-11-30 ,3621  ,3621
52788 ,1165  ,4         ,2   ,103.533333333333 ,37.2             ,2726.7 ,1959-11-01        ,1978-04-30      ,1955-11-01 ,1988-12-31 ,12114 ,6755
52815 ,1173  ,3         ,3   ,95.3             ,36.8             ,2678.9 ,1974-01-01        ,1996-12-31      ,1960-01-01 ,1996-12-31 ,13514 ,8400
52835 ,1192  ,2         ,2   ,97.8             ,36.0666666666667 ,2905.4 ,1974-01-01        ,1997-12-31      ,1957-10-01 ,1997-12-31 ,14701 ,8765
53601 ,1828  ,5         ,4   ,105.9            ,38.7666666666667 ,2908   ,1985-01-01        ,2019-04-30      ,1961-07-01 ,2020-03-31 ,21458 ,12537
53779 ,2226  ,2         ,2   ,112.733333333333 ,37.5833333333333 ,829.1  ,1978-05-01        ,1985-07-31      ,1976-01-01 ,1985-07-31 ,3499  ,2648
53793 ,2291  ,3         ,2   ,113.95           ,37.1666666666667 ,490.3  ,1963-05-01        ,1997-12-31      ,1960-01-01 ,2020-03-31 ,22005 ,12663
53887 ,2515  ,4         ,4   ,113.116666666667 ,36.2             ,926.5  ,1959-02-01        ,1985-12-31      ,1953-12-01 ,1985-12-31 ,11718 ,9830
53913 ,2585  ,2         ,2   ,106.633333333333 ,35.85            ,1478.8 ,2010-01-01        ,2020-03-31      ,2007-01-01 ,2020-03-31 ,4838  ,3742
53990 ,2869  ,5         ,3   ,114.166666666667 ,35.9             ,176.3  ,1960-01-01        ,1999-12-31      ,1958-05-01 ,2020-03-31 ,22615 ,14609
54175 ,3095  ,1         ,1   ,126.616666666667 ,43.4166666666667 ,537    ,2007-01-01        ,2020-03-31      ,2007-01-01 ,2020-03-31 ,4838  ,4838
54209 ,3132  ,5         ,2   ,116.7            ,42.3             ,1323   ,1962-07-01        ,1980-10-31      ,1956-01-01 ,1998-03-31 ,15430 ,6697
54504 ,3754  ,3         ,2   ,115.166666666667 ,39.4333333333333 ,531.7  ,1964-05-01        ,2019-01-31      ,1963-01-01 ,2020-03-31 ,20909 ,19998
54517 ,3815  ,8         ,4   ,117.066666666667 ,39.0833333333333 ,2.5    ,1974-01-01        ,1991-12-31      ,1958-01-01 ,2020-03-31 ,22735 ,6573
54868 ,4681  ,1         ,1   ,121.383333333333 ,36.2666666666667 ,70.5   ,1960-02-01        ,1984-12-31      ,1960-02-01 ,1984-12-31 ,9100  ,9100
54952 ,4900  ,1         ,1   ,120.85           ,35.8833333333333 ,44.5   ,1984-01-01        ,1988-08-31      ,1984-01-01 ,1988-08-31 ,1704  ,1704
56041 ,5095  ,3         ,3   ,99.2             ,34.2666666666667 ,4211.1 ,1974-01-01        ,1997-12-31      ,1959-09-01 ,1997-12-31 ,14001 ,8765
56075 ,5134  ,7         ,6   ,102.316666666667 ,34.0333333333333 ,3362.7 ,1967-01-01        ,1978-04-30      ,1957-01-01 ,1988-12-31 ,11687 ,4137
56132 ,5223  ,3         ,2   ,97.8833333333333 ,32.5333333333333 ,3242.1 ,1963-06-01        ,1979-12-31      ,1960-01-01 ,1981-07-31 ,7882  ,6057
56265 ,5446  ,4         ,3   ,101.483333333333 ,30.5             ,3449   ,1957-04-01        ,1979-12-31      ,1952-07-01 ,1981-07-31 ,10622 ,8309
