site,name,prov,lon.x,lat.x,alt.x
51848,安德河,新疆,83.8333333333333,37.6,1262.8
52343,吉诃德,内蒙古,99.9166666666667,41.9333333333333,965.6
52441,梧桐沟,甘肃,98.7,40.7166666666667,1591
52749,铁卜加,青海,99.5833333333333,37.0833333333333,3269
52788,松山,甘肃,103.533333333333,37.2,2726.7
52815,察尔汗,青海,95.3,36.8,2678.9
52835,香日德,青海,97.8,36.0666666666667,2905.4
53601,阿拉善盟,内蒙古,105.9,38.7666666666667,2908
53779,晋中市,山西,112.733333333333,37.5833333333333,829.1
53793,邢台市,河北,113.95,37.1666666666667,490.3
53887,晋东南,山西,113.116666666667,36.2,926.5
53913,彭阳,宁夏,106.633333333333,35.85,1478.8
53990,鹤壁市,河南,114.166666666667,35.9,176.3
54175,北大湖,吉林,126.616666666667,43.4166666666667,537
54209,锡林郭勒盟,内蒙古,116.7,42.3,1323
54504,紫荆关,河北,115.166666666667,39.4333333333333,531.7
54517,城市气候监测站,天津,117.066666666667,39.0833333333333,2.5
54868,千里岩,山东,121.383333333333,36.2666666666667,70.5
54952,朝连岛,山东,120.85,35.8833333333333,44.5
56041,中心站,青海,99.2,34.2666666666667,4211.1
56075,郎木寺,甘肃,102.316666666667,34.0333333333333,3362.7
56132,石渠洛须,四川,97.8833333333333,32.5333333333333,3242.1
56265,乾宁,四川,101.483333333333,30.5,3449
56269,康定市,四川,101.75,30.15,3460.8
56294,成都,四川,104.016666666667,30.6666666666667,506.1
56449,中甸/朱张,云南,99.7333333333333,28.0166666666667,3554.2
56741,泸水,云南,98.8166666666667,25.9833333333333,1792
56945,孟定,云南,99.0833333333333,23.5666666666667,511.4
57019,凤县,陕西,106.916666666667,34.25,1423.9
57036,西安,陕西,108.933333333333,34.3,397.5
57073,洛阳,河南,112.466666666667,34.6333333333333,137.1
57171,平顶山,河南,113.283333333333,33.7166666666667,84.7
57351,坛子岭,湖北,111,30.8333333333333,206.6
57352,三斗坪,湖北,111,30.8,185.3
57353,苏家坳,湖北,111,30.8333333333333,191.8
57451,绿葱坡,湖北,110.233333333333,30.7833333333333,1819.3
57504,内江,四川,105.05,29.5833333333333,347.1
57515,重庆,重庆,106.483333333333,29.5166666666667,351.1
57602,泸州,四川,105.433333333333,28.8833333333333,334.8
57622,遵义市道真仡佬族苗族自治县,贵州,107.45,28.8833333333333,1905.9
57713,遵义市川汇区,贵州,106.883333333333,27.7,843.9
57730,铜仁,贵州,108.183333333333,27.75,420.6
57746,怀化,湖南,109.966666666667,27.55,254.1
57765,雪峰山,湖南,110.416666666667,27.3333333333333,1404.9
57797,吉安,江西,114.966666666667,27.1166666666667,76.4
57823,黄平县,贵州,107.783333333333,27,683.7
57826,凯里市,贵州,107.783333333333,26.65,918
58028,徐州市,江苏,117.366666666667,34.3166666666667,34.3
58046,连云港市,江苏,119.783333333333,34.4833333333333,4.6
58144,淮阴(清江),江苏,119.033333333333,33.6,17.5
58151,盐城市,江苏,120.133333333333,33.3833333333333,2.3
58248,镇江市,江苏,119.466666666667,32.2166666666667,26.4
58305,六安市,安徽,115.633333333333,31.5166666666667,177.7
58333,江宁,江苏,118.85,31.95,22.1
58357,苏州市,江苏,120.633333333333,31.3166666666667,5.8
58445,天目山,浙江,119.416666666667,30.35,1496.9
58473,嵊山,浙江,122.816666666667,30.7333333333333,124.6
58617,抚州市,江西,116.366666666667,28,47.3
58653,括苍山,浙江,120.916666666667,28.8166666666667,1373.9
58726,七仙山,福建,117.833333333333,27.95,1414
58765,北麂,浙江,121.2,27.6333333333333,41.6
58853,台山,福建,120.7,27,106.6
58900,赣州,江西,114.95,25.85,123.7
59432,南宁城区,广西,108.4,22.8,194.6
